DESCRIPTION,coicop,Notes,daña el ambiente,no saludable,genero,gasolina,cerveza,licores,tabaco y cigarrillos,vehículos,alimentos,estupefacientes,cuidado,medicamentos,pink tax,used only by females,female gender role,infantiles,para hombres,prefix,vat,"vat, min","vat, max",prefix vat
"Frï¿½jol seco: bolaroja, cargamanto, guarzo, guandul, zaragoza, blanquillo, etc.",1170201,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
Arveja seca,1170202,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
Habas secas para consumo en el hogar,1170203,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
Lentejas,1170204,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
Garbanzos,1170205,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
"Verduras, hortalizas y legumbres enlatadas: arveja, frï¿½joles, maï¿½z, espï¿½rrago, zanahoria, habichuelas, ensalada",1170301,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
"Aceitunas, alcaparras, pepinillos y otros encurtidos en tarro",1170302,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
Legumbres y hortalizas deshidratadas,1170303,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
Plï¿½tano verde para consumo en el hogar,1170401,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
Plï¿½tano maduro  para consumo en el hogar,1170402,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
"Colicero, guineo, mataburro",1170403,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
"Papa comï¿½n: pastusa, tocarreï¿½a, R12",1170501,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
Papa criolla o amarilla,1170502,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
Yuca para consumo en el hogar,1170601,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
Arracacha,1170701,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
ï¿½ame,1170801,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
"Ullucos, cubios, hibias, chuguas, rubas",1170901,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
"Papa, yuca y plï¿½tano precocidos ",1171101,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
"Harina de plï¿½tano, de yuca, de achiras, purï¿½ de papas",1171102,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05
"Otras raï¿½ces y tubï¿½rculos: mafafa, achira, batata, etc",1179901,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
Azï¿½car refinada,1180101,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05
Azï¿½car natural o morena,1180102,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05
"Endulzantes dietï¿½ticos: aspartame, fructosa, sucralosa, otras",1180103,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05
Panela cruda para consumo en el hogar,1180201,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
Jaleas y mermeladas,1180301,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Compotas para consumo en el hogar,1180302,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Bocadillos para consumo en el hogar,1180303,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
Arequipe para consumo en el hogar,1180304,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
"Herpos, tumes y otros dulces de arequipe y bocadillo para consumo en el hogar",1180305,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Gelatina de pata negra o blanca para consumo en el hogar,1180306,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
"Gelatinas, flanes y pudines,en vaso listos para el consumo en el hogar",1180307,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
"Miel de abejas, maple o arce, melazas y almï¿½bares",1180308,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
"Pasta de chocolate para ponquï¿½, cobertura de chocolate y crema de avellana y cacao (Nutella)",1180401,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
"Dulces, confites, caramelos, bombones, chocolatinas, chicles, masmelos, cocadas para consumo en el hogar",1180501,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
"Helados, conos, paletas, vasitos, refrescos congelados y tortas heladas para consumo en el hogar",1180601,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
"Gelatinas, flanes y pudines en polvo para preparar",1180701,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Polvo para preparar helados,1180801,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Salsa de tomate,1190101,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Mayonesa,1190102,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
"Mostaza, salsa rosada",1190103,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Pasta de tomate,1190104,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Vinagre,1190106,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
"Otras salsas: salsa de soya, salsa china, salsa tï¿½rtara, salsa de ajï¿½, ajï¿½ picante, etc",1190199,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Sal  ,1190201,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
Cominos,1190301,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Pimienta,1190302,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Laurel ,1190303,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Tomillo,1190304,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Color,1190305,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
"Ajo en polvo o en pasta, canela, clavos, nuez moscada",1190306,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
"Hierbas culinarias: perejil, cilantro, romero, orï¿½gano, etc.",1190401,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
"Sopas: de vegetales, de carne, de pollo, de pescado, cremas de sobre, sopas para bebï¿½ para consumo en el hogar",1190501,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Caldos y consomï¿½s concentrados (cubos y polvo) ,1190502,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Bases para preparar carnes y otros alimentos,1190503,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
"Frituras: papas fritas, chitos, maizitos, patacones, besitos, etc",1190601,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Levaduras y esencias (polvo para hornear),1190701,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Mercados sin especificar productos,1190901,goods with different tax rates,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.095,0.0,0.19,0.05
Anchetas,1191001,goods with different tax rates,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.095,0.0,0.19,0.05
Leche en polvo para lactantes,1191101,,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0.0,0.0,0.0,0.05
"Otros alimentos precocidos y preparados: ajiaco, lenteja, frijol, lechona enlatada y similares",1199901,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Cafï¿½ molido,1210101,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05
Cafï¿½ o crema instantï¿½neo en polvo o granulado,1210102,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05
Cafï¿½ en grano,1210103,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05
Extractos y esencias de cafï¿½,1210105,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05
"Otras bebidas preparadas a base de cafï¿½: capuchino, mocachino, cafï¿½ con leche, cafï¿½ en lata para consumo en el hogar",1210199,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05
Chocolate en pastillas (con y sin azï¿½car),1210201,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05
Chocolate instantï¿½neo en polvo o granulado,1210202,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Cocoa y chucula  ,1210203,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Polvo para preparar bebidas achocolatadas,1210204,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Bebidas achocolatadas listas para consumir,1210205,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Tï¿½ en polvo (para preparar),1210301,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
"Hierbas aromï¿½ticas (secas y frescas), mate para consumo en el hogar",1210302,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Agua mineral (con y sin gas) para consumo en el hogar,1220101,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
Agua en lata o de carrotanque,1220201,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
Hielo ,1220301,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05
Gaseosas para consumo en el hogar,1220401,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Maltas para consumo en el hogar,1220501,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
"Refrescos lï¿½quidos empacados (jugos, tï¿½ frï¿½os y bebidas hidratantes) para consumo en el hogar",1220601,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Concentrados para preparar refrescos,1220701,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
"Bebidas energizantes (a base de glucosa, guaranï¿½, cafeï¿½na, entre otros) para consumo en el hogar",1220801,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
"Bebidas a base de arroz, soya, coco, quinua, almendra, etc (horchata, yogurt vegetariano) para consumo en el hogar",1220901,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05
Aguardiente para consumo en el hogar,2110101,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.05,0.05,0.05,0.05
Ron para consumo en el hogar,2110201,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.05,0.05,0.05,0.05
"Whisky, brandy, vodka, ginebra, cognac, tequila y similares para consumo en el hogar",2110301,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.05,0.05,0.05,0.05
"Cremas de licor (de amareto, de whisky, etc.), sabajï¿½n y ponche crema para consumo en el hogar",2110401,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.05,0.05,0.05,0.05
"Otras bebidas alcohï¿½licas: aperitivos que no sean a base de vino, mezclas de cocteles para consumo en el hogar",2119901,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.05,0.05,0.05,0.05
"Vino, champaï¿½a, jerez y aperitivos a base de vino para consumo en el hogar",2120101,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.05,0.05,0.05,0.05
Cerveza nacional e importada para consumo en el hogar,2130101,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.19,0.19,0.19,0.05
Refajo preparado (embotellado o enlatado) para consumo en el hogar,2130102,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.19,0.19,0.19,0.05
Cigarrillos con filtro,2200101,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.19,0.19,0.19,0.05
Cigarrillos sin filtro,2200102,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.19,0.19,0.19,0.05
Tabacos y picadura para pipa o para armar cigarrillos,2200103,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.19,0.19,0.19,0.05
"Estupefacientes: cocaï¿½na, ï¿½xtasis, heroï¿½na, marihuana, bazuco, crack, etc.",2300101,special goods,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.05
"Telas y materiales (fibras naturales o sinteticas) para la confecciï¿½n de ropa de hombre, mujer, niï¿½o, niï¿½a y bebï¿½ ",3110101,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.19,0.19,0.19,0.19
Camisas para hombre,3120101,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.19,0.19,0.19,0.19
"Camisetas, franelas, esqueletos, polos para hombre",3120102,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.19,0.19,0.19,0.19
"Calzoncillos, pantaloncillos, boxer para hombre",3120103,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.19,0.19,0.19,0.19
Medias y calcetines para hombre,3120104,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.19,0.19,0.19,0.19
Pantalones para hombre,3120105,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.19,0.19,0.19,0.19
Jeans para hombre,3120106,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.19,0.19,0.19,0.19
"Bermudas, pantalonetas y pantalï¿½n corto para hombre",3120107,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.19,0.19,0.19,0.19
"Vestido completo (sï¿½lo pantalï¿½n, chaqueta y/o chaleco) para hombre",3120108,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.19,0.19,0.19,0.19
"Blazers, chaquetas, chaquetones, chompas y sacos de sport en paï¿½o, cuero, gamuza y otros materiales para hombre",3120109,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.19,0.19,0.19,0.19
"Buzos, chalecos, sacos de lana y similares para hombre",3120110,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.19,0.19,0.19,0.19
"Gabardinas, gabanes, abrigos y sobretodos para hombre",3120111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.19,0.19,0.19,0.19
Capas e impermeables para hombre,3120112,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.19,0.19,0.19,0.19
"Sudaderas, trusas y bicicleteros para hombre",3120113,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.19,0.19,0.19,0.19
Pantalonetas de baï¿½o para hombre,3120114,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.19,0.19,0.19,0.19
Pijamas y batas para hombre,3120115,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.19,0.19,0.19,0.19
Otros artï¿½culos de vestir para hombre (depotivos y formales),3120199,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.19,0.19,0.19,0.19
Blusas y camisas para mujer,3120201,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0.19,0.19,0.19,0.19
"Camisetas, franelas y bodies para mujer",3120202,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0.19,0.19,0.19,0.19
"Pantalones, slacks y leggins ",3120203,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0.19,0.19,0.19,0.19
"Shorts, bermudas y pantalonetas para mujer",3120204,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0.19,0.19,0.19,0.19
Jeans para mujer,3120205,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0.19,0.19,0.19,0.19
Faldas para mujer,3120206,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0.19,0.19,0.19,0.19
"Brassieres, tops y sostenes para mujer",3120207,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0.19,0.19,0.19,0.19
Pantys (interiores) para mujer,3120208,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.19,0.19,0.19,0.19
Media de lana y otros materiales diferente a velada para mujer,3120209,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0.19,0.19,0.19,0.19
Medias veladas para mujer,3120210,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0.19,0.19,0.19,0.19
"Enaguas, fondos y combinaciones para mujer",3120211,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0.19,0.19,0.19,0.19
Vestidos confeccionados para mujer,3120212,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0.19,0.19,0.19,0.19
"Buzos, chalecos, sacos de lana y similares, sacos de sport en cuero, paï¿½o, gamuza y otros materiales",3120213,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.19,0.19,0.19,0.19
"Blazers, chaquetas, chaquetones y sacos de sport en paï¿½o, cuero, gamuza y otros materiales para mujer",3120214,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0.19,0.19,0.19,0.19
"Gabardinas, gabanes, abrigos y sobretodos para mujer",3120215,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0.19,0.19,0.19,0.19
Capas e impermeables para mujer,3120216,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0.19,0.19,0.19,0.19
"Sudaderas, trusas y bicicleteros para mujer",3120217,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0.19,0.19,0.19,0.19
Trajes de baï¿½o para mujer,3120218,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0.19,0.19,0.19,0.19
Pijamas y batas para mujer,3120219,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0.19,0.19,0.19,0.19
Otros artï¿½culos de vestir para mujer (deportivos y formales) ,3120299,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0.19,0.19,0.19,0.19
Camisas para niï¿½o,3120301,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0.19,0.19,0.19,0.19
"Camisetas, franelas, esqueletos, polos para niï¿½o",3120302,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0.19,0.19,0.19,0.19
"Calzoncillos, pantaloncillos, boxer para niï¿½o",3120303,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0.19,0.19,0.19,0.19
Medias y calcetines para niï¿½o,3120304,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0.19,0.19,0.19,0.19
Pantalones para niï¿½o,3120305,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0.19,0.19,0.19,0.19
Jeans para niï¿½o,3120306,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0.19,0.19,0.19,0.19
"Bermudas, pantalonetas y pantalï¿½n corto para niï¿½o",3120307,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0.19,0.19,0.19,0.19
"Vestido completo (sï¿½lo pantalï¿½n, chaqueta y/o chaleco) para niï¿½o",3120308,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0.19,0.19,0.19,0.19
"Blazers, chaquetas, chompas y sacos de sport en paï¿½o, cuero, gamuza y otros materiales para niï¿½o",3120309,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0.19,0.19,0.19,0.19
"Buzos, chalecos, sacos de lana y similares para niï¿½o",3120310,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0.19,0.19,0.19,0.19
"Gabardinas, gabanes, abrigos y sobretodo para niï¿½o",3120311,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0.19,0.19,0.19,0.19
Capas e impermeables para niï¿½o,3120312,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0.19,0.19,0.19,0.19
"Sudaderas, trusas y bicicleteros para niï¿½o",3120313,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0.19,0.19,0.19,0.19
Pantalonetas de baï¿½o para niï¿½o,3120314,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0.19,0.19,0.19,0.19
Pijamas y batas para niï¿½o,3120315,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0.19,0.19,0.19,0.19
Otros artï¿½culos de vestir para niï¿½o (deportivos y formales),3120399,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0.19,0.19,0.19,0.19
Blusas y camisas para niï¿½a,3120401,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0.19,0.19,0.19,0.19
"Camisetas, franelas y bodies para niï¿½a",3120402,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0.19,0.19,0.19,0.19
"Pantalones, slacks y leggins para niï¿½a",3120403,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0.19,0.19,0.19,0.19
"Shorts, bermudas y pantalonetas para niï¿½a",3120404,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0.19,0.19,0.19,0.19
Jeans para niï¿½a,3120405,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0.19,0.19,0.19,0.19
Faldas para niï¿½a,3120406,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0.19,0.19,0.19,0.19
Vestidos confeccionados para niï¿½a,3120407,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0.19,0.19,0.19,0.19
"Enaguas, fondos, combinaciones para niï¿½a",3120408,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0.19,0.19,0.19,0.19
Pantys (interiores) para niï¿½a,3120409,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0.19,0.19,0.19,0.19
"Brassieres, sostenes, tops  y acostumbradores para niï¿½a",3120410,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,0.19,0.19,0.19,0.19
"Media tobillera, media pantalï¿½n, media media (velada, de lana y otros materiales) para niï¿½a",3120411,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0.19,0.19,0.19,0.19
"Buzos, chalecos, sacos de lana y similares para niï¿½a",3120412,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0.19,0.19,0.19,0.19
"Blazers, chaquetas, chaquetones y sacos de sport en paï¿½o, cuero, gamuza y otros materiales para niï¿½a",3120413,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0.19,0.19,0.19,0.19
"Gabardinas, gabanes, abrigos y sobretodos para niï¿½a",3120414,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0.19,0.19,0.19,0.19
Capas e impermeables para niï¿½a,3120415,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0.19,0.19,0.19,0.19
"Sudaderas, trusas y bicicleteros para niï¿½a",3120416,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0.19,0.19,0.19,0.19
Traje de baï¿½o para niï¿½a,3120417,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0.19,0.19,0.19,0.19
Pijamas y batas para niï¿½a,3120418,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0.19,0.19,0.19,0.19
Otros artï¿½culos de vestir para niï¿½a (deportivos y formales),3120499,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0.19,0.19,0.19,0.19
"Camisas, franelas para bebï¿½",3120501,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0.19,0.19,0.19,0.19
"Vestidos confeccionados, mamelucos, etc. para bebï¿½",3120502,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0.19,0.19,0.19,0.19
"Escarpines, patines, mitones, zapatos de tela, medias, gorritos y bufandas para bebï¿½",3120503,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0.19,0.19,0.19,0.19
Pijamas y talegos de dormir para bebï¿½,3120504,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0.19,0.19,0.19,0.19
"Buzos, ruanas, sacos de lana y similares para bebï¿½",3120505,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0.19,0.19,0.19,0.19
Paï¿½ales de tela para bebï¿½,3120506,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0.19,0.19,0.19,0.19
